Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP00100,Female,Yes,2,Not Graduate,No,7031,6518,363,360,0,Urban,N
LP00101,Female,No,0,Not Graduate,No,4790,6630,363,120,1,Urban,Y
LP00102,Female,No,2,Not Graduate,Yes,3410,1772,66,120,0,Semiurban,Y
LP00103,Male,Yes,2,Not Graduate,Yes,10227,474,221,360,1,Semiurban,N
LP00104,Male,No,3,Not Graduate,No,8632,4941,265,120,1,Urban,Y
LP00105,Female,Yes,3,Not Graduate,No,4888,3639,346,360,1,Urban,Y
LP00106,Female,Yes,3,Not Graduate,No,8352,6858,154,360,1,Semiurban,Y
LP00107,Male,Yes,3,Graduate,No,9631,4240,281,180,0,Semiurban,Y
LP00108,Female,Yes,1,Not Graduate,Yes,10015,921,304,120,0,Urban,Y
LP00109,Male,No,3,Graduate,Yes,3614,4131,176,120,1,Semiurban,Y
LP00110,Male,Yes,2,Graduate,No,14590,4964,59,360,1,Semiurban,Y
LP00111,Male,Yes,2,Not Graduate,No,11804,1530,236,360,1,Semiurban,N
LP00112,Male,No,3,Graduate,No,10001,1037,337,360,0,Rural,Y
LP00113,Female,No,3,Not Graduate,Yes,5925,2314,292,360,1,Urban,N
LP00114,Male,Yes,0,Graduate,No,4942,5325,53,120,1,Rural,Y
LP00115,Male,Yes,2,Graduate,No,5242,6424,273,120,1,Rural,Y
LP00116,Male,Yes,2,Not Graduate,No,3672,6500,331,360,0,Semiurban,Y
LP00117,Female,No,3,Not Graduate,Yes,14230,3649,60,120,1,Semiurban,Y
LP00118,Male,Yes,2,Not Graduate,No,1787,4829,228,180,0,Semiurban,N
LP00119,Male,No,0,Graduate,Yes,7651,1965,391,180,1,Urban,Y
LP00120,Female,Yes,2,Not Graduate,Yes,14704,7550,396,180,0,Urban,Y
LP00121,Female,Yes,0,Graduate,No,3680,1745,267,180,1,Rural,N
LP00122,Female,Yes,1,Graduate,Yes,6575,557,297,360,1,Semiurban,Y
LP00123,Female,Yes,0,Graduate,Yes,14480,6221,253,180,0,Urban,N
LP00124,Male,No,1,Not Graduate,Yes,12864,6169,182,180,1,Urban,N
LP00125,Male,Yes,2,Not Graduate,Yes,2092,5480,76,360,1,Semiurban,N
LP00126,Male,No,1,Graduate,Yes,14211,4711,209,360,0,Rural,Y
LP00127,Male,Yes,3,Graduate,No,8260,4509,355,360,1,Rural,N
LP00128,Female,No,3,Not Graduate,Yes,6793,6557,198,120,0,Urban,N
LP00129,Female,Yes,0,Not Graduate,No,7161,2913,54,180,1,Semiurban,Y
LP00130,Female,Yes,0,Graduate,Yes,14207,4186,387,120,0,Semiurban,N
LP00131,Female,Yes,0,Not Graduate,No,7960,2191,316,360,0,Rural,Y
LP00132,Male,Yes,0,Not Graduate,No,8680,6173,56,120,1,Urban,N
LP00133,Female,Yes,3,Not Graduate,Yes,11916,7621,65,360,0,Rural,N
LP00134,Female,Yes,3,Graduate,Yes,9826,3717,122,360,1,Rural,Y
LP00135,Male,Yes,3,Graduate,Yes,12402,637,365,360,0,Rural,N
LP00136,Female,No,1,Graduate,Yes,9356,2461,272,120,1,Urban,Y
LP00137,Female,No,2,Not Graduate,No,10886,2160,195,180,0,Semiurban,N
LP00138,Female,No,2,Graduate,Yes,12740,5766,194,180,0,Semiurban,Y
LP00139,Male,No,1,Not Graduate,No,10782,5001,168,120,1,Semiurban,N
LP00140,Male,Yes,0,Not Graduate,Yes,12219,3115,304,180,1,Rural,Y
LP00141,Female,Yes,0,Graduate,Yes,7401,6926,56,360,1,Urban,Y
LP00142,Female,Yes,0,Not Graduate,No,11589,7520,289,180,0,Rural,Y
LP00143,Male,No,0,Not Graduate,Yes,11215,3541,89,360,1,Rural,Y
LP00144,Female,No,0,Not Graduate,No,4964,5431,304,360,1,Rural,N
LP00145,Female,Yes,3,Not Graduate,Yes,1905,2130,133,360,1,Rural,N
LP00146,Female,No,1,Graduate,No,6934,3627,262,360,0,Semiurban,Y
LP00147,Male,No,1,Graduate,No,7764,3851,344,120,1,Semiurban,Y
LP00148,Female,No,3,Graduate,Yes,9290,2253,86,180,1,Rural,N
LP00149,Female,No,3,Graduate,Yes,11121,5880,393,360,0,Rural,N
LP00150,Female,Yes,3,Graduate,Yes,10688,5232,102,120,0,Rural,N
LP00151,Female,Yes,2,Not Graduate,No,8347,6297,52,180,1,Urban,N
LP00152,Male,No,0,Not Graduate,Yes,1960,6892,83,180,1,Semiurban,Y
LP00153,Female,Yes,1,Not Graduate,No,12436,7281,229,360,0,Urban,Y
LP00154,Female,Yes,0,Not Graduate,No,2399,7204,358,360,1,Rural,N
LP00155,Male,Yes,2,Graduate,Yes,8663,4975,318,180,1,Urban,Y
LP00156,Female,No,3,Graduate,Yes,9759,49,367,120,1,Semiurban,N
LP00157,Male,No,1,Graduate,Yes,9805,3586,126,120,1,Urban,N
LP00158,Female,Yes,0,Not Graduate,No,2628,4196,315,180,0,Semiurban,Y
LP00159,Female,Yes,0,Graduate,No,10886,6974,399,120,0,Urban,Y
